Slot_ID,Exam_Day,Slot_Number,Time,,Parameter,Value
D1S1,1,1,09:00-11:00,,Slots per day,3
D1S2,1,2,12:00-14:00,,Available exam days,6
D1S3,1,3,15:00-17:00,,Preferred max used days,5
D2S1,2,1,09:00-11:00,,Hard max exams/student/day,2
D2S2,2,2,12:00-14:00,,,
D2S3,2,3,15:00-17:00,,,
D3S1,3,1,09:00-11:00,,,
D3S2,3,2,12:00-14:00,,,
D3S3,3,3,15:00-17:00,,,
D4S1,4,1,09:00-11:00,,,
D4S2,4,2,12:00-14:00,,,
D4S3,4,3,15:00-17:00,,,
D5S1,5,1,09:00-11:00,,,
D5S2,5,2,12:00-14:00,,,
D5S3,5,3,15:00-17:00,,,
D6S1,6,1,09:00-11:00,,,
D6S2,6,2,12:00-14:00,,,
D6S3,6,3,15:00-17:00,,,
